,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-3/,30,5,0.7142856938775517,0.09971509943101112,24.142857142857142,0.43304843304843305,9.830362230362232,24.142857142857142,152,351,848,0,7.452991452991453
1,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19-2/,35,16,0.37254901230296056,0.11943793883035611,17.035714285714285,0.3583138173302108,6.957611241217798,17.035714285714285,153,427,943,0,6.948477751756441
2,https://insights.blackcoffer.com/is-telemedicine-effective-in-treating-patients/,71,28,0.43434342995612696,0.10760869553520794,18.612903225806452,0.4673913043478261,7.632117812061711,18.612903225806452,430,920,2322,1,7.666304347826087
3,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-2/,57,22,0.4430379690754688,0.08280922423185616,16.596153846153847,0.44863731656184486,6.8179164650862765,16.596153846153847,428,954,2327,0,7.648846960167715
4,https://insights.blackcoffer.com/how-people-diverted-to-telehealth-services-and-telemedicine/,71,33,0.36538461187130183,0.11441144101824924,22.01219512195122,0.4730473047304731,8.994096970672677,22.01219512195122,430,909,2290,1,7.757975797579758
5,https://insights.blackcoffer.com/the-future-of-telehealth-services/,54,37,0.18681318476029468,0.09827213812281627,18.298969072164947,0.4535637149028078,7.501013114827102,18.298969072164947,420,926,2391,2,7.785097192224622
6,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19/,26,18,0.18181817768595052,0.08349146094214144,56.61904761904762,0.40037950664136623,22.807770850275595,56.61904761904762,211,527,1251,0,7.227703984819734
7,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector-2/,29,4,0.7575757346189171,0.08943089406658294,18.857142857142858,0.3956639566395664,7.70112272551297,18.857142857142858,146,369,831,10,6.913279132791328
8,https://insights.blackcoffer.com/the-impact-of-the-metaverse-on-financial-services/,45,9,0.6666666543209879,0.07681365565175867,21.847457627118644,0.4438122332859175,8.916507944161825,21.847457627118644,312,703,1674,2,7.281650071123756
9,https://insights.blackcoffer.com/how-metaverse-and-vr-can-reform-work-culture/,41,24,0.261538457514793,0.07394766772019605,21.609756097560975,0.38111490329920367,8.79634840034407,21.609756097560975,335,879,2001,7,7.135381114903299
10,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector/,36,12,0.4999999895833336,0.06956521729048519,24.43859649122807,0.3565217391304348,9.918047292143402,24.43859649122807,246,690,1546,5,6.992753623188406
11,https://insights.blackcoffer.com/how-metaverse-will-change-your-life/,34,16,0.35999999280000017,0.06493506485073368,18.896551724137932,0.4038961038961039,7.720179131213616,18.896551724137932,311,770,1749,21,6.942857142857143
12,https://insights.blackcoffer.com/the-metaverse-and-its-implications-for-our-digital-future/,21,13,0.23529411072664383,0.05414012730232464,24.548387096774192,0.3869426751592357,9.974131908773373,24.548387096774192,243,628,1374,35,6.67515923566879
13,https://insights.blackcoffer.com/do-all-social-media-is-owned-by-meta/,5,7,-0.16666665277777895,0.02409638549378236,18.666666666666668,0.3273092369477912,7.597590361445784,18.666666666666668,163,498,1087,2,6.728915662650603
14,https://insights.blackcoffer.com/how-metaverse-is-shaping-the-future-the-next-big-tech-phenomena/,37,11,0.5416666553819447,0.054545454483471076,17.48,0.36363636363636365,7.1374545454545455,17.48,320,880,1964,3,6.896590909090909
15,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers-2/,18,35,-0.3207547109291564,0.15497075978078725,22.70967741935484,0.3391812865497076,9.21954348236182,22.70967741935484,116,342,744,5,6.994152046783626
